,text,reason,label,clean_text
488,"this app has been helpful very much, but as a gamer i really need animated profile pictures up to 100mb size, this feature is helpful to people like me, and maybe some other people.",want animated profile picture,1.0,this app have be helpful very much but as a gamer i really need animate profile picture up to 100mb size this feature be helpful to people like me and maybe some other people
489,"and as always we need more features for ipad and iphone like ""save contact name and number""
and also new backgrounds and filters.",want better features for ipad and iphone,1.0,and as always we need more feature for ipad and iphone like save contact name and number and also new background and filter
490,"when i checked the basic accessibility i found that there is no problem, but i could not find options for camera",want to find camera option,1.0,when i check the basic accessibility i find that there be no problem but i could not find options for camera
491,we can not find what the meeting password is.,want to find meeting password,1.0,we can not find what the meet password be
492,in iphone it far better battery performance..!!,iphone has better battery performance,1.0,in iphone it far better battery performance
493,extremely good interface and clear quality conferencing,good interface and clear quality conferencing,1.0,extremely good interface and clear quality conferencing
494,bad connection and can not pin in phone,facing connectivity issues and unable to pin in phone,1.0,bad connection and can not pin in phone
495,best wishes for more creativity to the team of developers.,good for creativity,1.0,best wish for more creativity to the team of developers
496,web version is crap can not hear dicc ruined whole meeting so have to download this app,web version is bad,1.0,web version be crap can not hear dicc ruin whole meet so have to download this app
497,"functionally things are great but the ui could be better, chat button is under a hidden menu although there is space on main screen.",chat button is under hidden menu,1.0,functionally things be great but the ui could be better chat button be under a hide menu although there be space on main screen
498,monday's upgrade means i can no longer use zoom on my ipad and only through safari with limited features on my imac.,want to use zoom on ipad,1.0,monday s upgrade mean i can no longer use zoom on my ipad and only through safari with limit feature on my imac
499,"on ipad member video views are very limited, and got very limited features.",video views are limited,1.0,on ipad member video view be very limit and get very limit feature
500,only problem. wish we could isolate each speaker in the break out room.,want to isolate speaker in break out room,1.0,only problem wish we could isolate each speaker in the break out room
501,i want to be able to change the position of the camera box when zooming with a tablet or phone.,want to change position of camera box when zooming,1.0,i want to be able to change the position of the camera box when zoom with a tablet or phone
502,", you can at least add your own volume slider.",want to add volume slider,1.0,you can at least add your own volume slider
503,"the app is great and useful but could you add a feature where you can mute someone but for the other participants they can still hear that person, it would be very useful if it was added",want to mute participant,1.0,the app be great and useful but could you add a feature where you can mute someone but for the other participants they can still hear that person it would be very useful if it be add
504,can not get it to pair with hearing aids.,want to pair hearing aids,1.0,can not get it to pair with hear aid
505,can you please add background and video filter option to ipad air,want to add background and filter option to ipad,1.0,can you please add background and video filter option to ipad air
506,the sound is constantly glictching!,sound is constantly glitching,1.0,the sound be constantly glictching
507,"to whom it may concern
is it possible to have the translation simultaneously by splitting the screen in two",want simultaneous translation by splitting screen,1.0,to whom it may concern be it possible to have the translation simultaneously by split the screen in two
508,where to choose language,want to choose language,1.0,where to choose language
509,"split screen while conversing: if you change zoom from split screen to full screen, you might lose all audio control.",converting split screen to full screen will lose audio control,1.0,split screen while converse if you change zoom from split screen to full screen you might lose all audio control
510,you can not change your mic setting while drawing on someone else's,want to change mic setting while drawing,1.0,you can not change your mic set while draw on someone else s
511,and there is making it impossible i need my account to cancelled as soon as possible,want to cancel account,1.0,and there be make it impossible i need my account to cancel as soon as possible
512,you need to have a better way to connect to people,want to connect to people,1.0,you need to have a better way to connect to people
513,then the mic because sometimes when we want to open the mike we press camera and that is not fair at all so pls make the camera further then the mic.,want camera and microphone option to be further,1.0,then the mic because sometimes when we want to open the mike we press camera and that be not fair at all so pls make the camera further then the mic
514,"would be even better if zoom could silence the computer notification sounds, like incoming emails.",want to mute computer notification sounds,1.0,would be even better if zoom could silence the computer notification sound like incoming email
515,how can you add a comment or well wishes?,want to add comment or well wishes,1.0,how can you add a comment or well wish
516,my keyboard and speaker lags.,keyboard and speaker is lagging,1.0,my keyboard and speaker lag
517,unable to upload file attachments in chat.,want to upload file attachments,1.0,unable to upload file attachments in chat
518,"i cannot enter ""zoom"" from the web page from my network tv (samsung), it does not support.",want to access zoom from webpage,1.0,i can not enter zoom from the web page from my network tv samsung it do not support
519,:can you just add some more of backgrounds like:,want to add more backgrounds,1.0,can you just add some more of background like
520,why no video backgrounds yet?,unable to see background video,1.0,why no video background yet
521,"it really annoys me, because in my account I am using i cannot change my name, or profile picture, and my name is completely different then my real one, and half my school does not know.",want to change name and profile picture,1.0,it really annoy me because in my account i be use i can not change my name or profile picture and my name be completely different then my real one and half my school do not know
522,i can not open my voice disabled my image is enough either,want to open voice,1.0,i can not open my voice disable my image be enough either
523,unable to enter the year of birth.,want to enter the year of birth,1.0,unable to enter the year of birth
524,how do i get quality recordings?,want to get quality recordings,1.0,how do i get quality record
525,"well after i set my account i was trying to joint my zoom meeting they kept on telling me ""switch account"" and they will not let me change my name and photo . not impressed",want to join meeting and change name and photo,1.0,well after i set my account i be try to joint my zoom meet they keep on tell me switch account and they will not let me change my name and photo not impress
526,"when there is a problem, support is non-existent.",customer service needs improvement,1.0,when there be a problem support be non existent
527,I am going into zoom you background to open my exam and my camera switches off automatically.,camera switches off automatically,1.0,i be go into zoom you background to open my exam and my camera switch off automatically
528,"but every time your phone number could not be saved, please try again",want to save phone number,1.0,but every time your phone number could not be save please try again
529,"first off, the preveiws they put in the app store are so cringe.",app store previews are bad,1.0,first off the preveiws they put in the app store be so cringe
530,"screen share quality is horrible, 40p at the very most.",screen share quality is poor,1.0,screen share quality be horrible 40p at the very most
531,"-files are being sent very slowly, even sometimes canceled.",files are being sent slowly,1.0,file be be send very slowly even sometimes cancel
532,when i click on the effects section i can not go back.,want to go back after clicking on effects section,1.0,when i click on the effect section i can not go back
533,everyone says there is no support for turkish language translate from settings to turkish so simple or how did you not understand?,want to translate turkish language,1.0,everyone say there be no support for turkish language translate from settings to turkish so simple or how do you not understand
534,"unfortunately, no sound on tv when i plug my ipad or iphone into an hdmi adapter.",want to hear audio on tv after plugging in ios devices into hdmi adapter,1.0,unfortunately no sound on tv when i plug my ipad or iphone into an hdmi adapter
535,weblink does not work on ipad browser(google),weblink does not work on ipad browser,1.0,weblink do not work on ipad browsergoogle
536,we also have to take notes on our ipads and can not take notes while splitting the screen because the space is too small for both writing and meeting to see anything!,want to take notes while splitting screen,1.0,we also have to take note on our ipads and can not take note while split the screen because the space be too small for both write and meet to see anything
537,all of a sudden it does not take the password which is working on mobile but not on ipad,password is not working,1.0,all of a sudden it do not take the password which be work on mobile but not on ipad
538,why are account settings so inaccessible?,account settings are inaccessible,1.0,why be account settings so inaccessible
539,i want to change my 2fa settings and authenticator app,want to change two factor authentication settings and authenticator app,1.0,i want to change my 2fa settings and authenticator app
540,"unfortunately, no breakout rooms can be created from the iphone.",want to create breakout rooms,1.0,unfortunately no breakout room can be create from the iphone
541,no participants can focus in breakout.,want to focus on breakout,1.0,no participants can focus in breakout
542,as far as top but breakout rooms are missing.,breakout rooms are missing,1.0,as far as top but breakout room be miss
543,i can not chat with my friends because i can not find the contact request button!,want to chat with friends,1.0,i can not chat with my friends because i can not find the contact request button
544,may i ask how to send pictures in messenges?,want to send pictures in messages,1.0,may i ask how to send picture in messenges
545,"lots of features, but chat boxes keep blocking the presentation",chat boxes are blocking the presentation,1.0,lot of feature but chat box keep block the presentation
546,disable mic in the settings but still feel switched on without pressing the mic,want to turn off mic,1.0,disable mic in the settings but still feel switch on without press the mic
547,still have not got a refund.,want to get a refund,1.0,still have not get a refund
548,"also, for the life of me, can not seem to find a way to add different backgrounds.",want to use backgrounds,1.0,also for the life of me can not seem to find a way to add different background
549,fix password error and invalid id,want to fix password error and invalid id issues,1.0,fix password error and invalid id
550,please provide pip on ipad,want pip on ipad,1.0,please provide pip on ipad
551,it would be perfect to have more message recall function!! ',want message recall function,1.0,it would be perfect to have more message recall function
552,"video, sometimes audio as well, turns black intermittently when switching split view on ipad.",video turns black intermittently when switching split view,1.0,video sometimes audio as well turn black intermittently when switch split view on ipad
553,unpleasant reverse camera vcl,reverse camera needs improvement,1.0,unpleasant reverse camera vcl
554,it is in german - how can i switch to dutch or english please ?,want dutch or english language support,1.0,it be in german how can i switch to dutch or english please
555,waste of time it does not even let you scan the code when you have code!,want to scan code,1.0,waste of time it do not even let you scan the code when you have code
556,"hi, i have black screen when i switch to see active speaker.",receiving black screen to view active speaker,1.0,hi i have black screen when i switch to see active speaker
557,expect the releasers to add settings hit wallpapers on ipad,want to add settings hit wallpapers on ipad,1.0,expect the releasers to add settings hit wallpaper on ipad
558,but the app sometime have a litle bit lag when my teacher share the screen and the video.,app screen sharing feature is slow,1.0,but the app sometime have a litle bite lag when my teacher share the screen and the video
559,multiple code passes can not be entered.,want to enter code,1.0,multiple code pass can not be enter
560,"network or network, video does not match the voice and screen.",want to sync audio with video,1.0,network or network video do not match the voice and screen
561,ipad 5 does not have the background.,ipad 5 does not have background,1.0,ipad 5 do not have the background
562,but iphone 5 must have virtual background on the filter,iphone 5 needs virtual background,1.0,but iphone 5 must have virtual background on the filter
563,i can not take part in any class on my iphone and my ipad too.,want to take part in class on iphone,1.0,i can not take part in any class on my iphone and my ipad too
564,i do not know how to cancel the service and the payment becomes automatic,want to cancel subscription,1.0,i do not know how to cancel the service and the payment become automatic
565,"every time you go to the meeting or every time you learn online, you need to enter your password again.",user has to enter password multiple times,1.0,every time you go to the meet or every time you learn online you need to enter your password again
566,"but the bad thing about this application is that the free version has a bad interface, in addition to the fact that you have to pay to have a pro version to be able to have a meeting of more than 40 minutes and better features.",free version has bad interface,1.0,but the bad thing about this application be that the free version have a bad interface in addition to the fact that you have to pay to have a pro version to be able to have a meet of more than 40 minutes and better feature
567,how can i open a group?,want to open a group,1.0,how can i open a group
568,"i do not know how to put the filters, nor do i know how to put the photos in the entrance when you turn off your camera.",want to apply filters and put the photos in entrance,1.0,i do not know how to put the filter nor do i know how to put the photos in the entrance when you turn off your camera
569,"they have just set up a very annoying update with a terrible sound every time i tap on mute/unmute micro, and there is no way to disable that.",latest update is bad with audio issues,1.0,they have just set up a very annoy update with a terrible sound every time i tap on mute unmute micro and there be no way to disable that
570,"after the last update, the interface completely changed and displayed in russian, in the settings there is no such option as ""language selection""",want to choose another language,1.0,after the last update the interface completely change and display in russian in the settings there be no such option as language selection
571,can someone tell my how to start a call?,want to start a call,1.0,can someone tell my how to start a call
572,"I am so sad, and light disappoint because this app on iphone do not have feature allows user to change background in meeting.",want to change background on iphone,1.0,i be so sad and light disappoint because this app on iphone do not have feature allow user to change background in meet
573,"app was easier than others, but i recommend you make an interface easier and have more time in meeting for the free version.",user interface needs improvement and need to extend time limit for meeting,1.0,app be easier than others but i recommend you make an interface easier and have more time in meet for the free version
574,mirror mode is horrible,mirror mode is horrible,1.0,mirror mode be horrible
575,"i can not register, plus the lack of ukrainian language, please correct it and put a good assessment",want to register and want ukrainian language support,1.0,i can not register plus the lack of ukrainian language please correct it and put a good assessment
576,"when a link is sent, it does not let you click and follow it.",want to click on link,1.0,when a link be send it do not let you click and follow it
577,the appt shuts down twice,app shuts down twice,1.0,the appt shut down twice
578,it would be awesome if you implemented native picture in picture mode for video calls so we can minimize the app while keeping a call on the screen,want native picture mode for video calls,1.0,it would be awesome if you implement native picture in picture mode for video call so we can minimize the app while keep a call on the screen
579,it is a good app but it does not let me enter what it says in the app store that it is for 4 years and older,want to enter the app,1.0,it be a good app but it do not let me enter what it say in the app store that it be for 4 years and older
580,the application crashes a lot and i can not understand my meetings and also it takes a long time to let the meeting in please fix it,app crashes during meetings,1.0,the application crash a lot and i can not understand my meet and also it take a long time to let the meet in please fix it
581,it does not connect me with people to play minecraft does not work!,want to contact people,1.0,it do not connect me with people to play minecraft do not work
582,zoom will not let me create sections and also will not let me start or subscribe,want to create sections,1.0,zoom will not let me create section and also will not let me start or subscribe
583,* and it is the one i use for everything but the sharing function is very limited and difficult i cannot share videos or the sound of the ipad among other things like on computers,want to share videos,1.0,and it be the one i use for everything but the share function be very limit and difficult i can not share videos or the sound of the ipad among other things like on computers
584,it would help many students if when zooming out while in meeting the meeting is minimized in one part of the screen.,want to minimize the screen while zooming out,1.0,it would help many students if when zoom out while in meet the meet be minimize in one part of the screen
585,i need to reduce the size of the app because the current 15 gb device contains 16gb erase all unnecessary apps then many memories can not be deleted,want to reduce the size of app,1.0,i need to reduce the size of the app because the current 15 gb device contain 16gb erase all unnecessary apps then many memories can not be delete
586,but. it will not let me put funds and filter,want to put money and filter,1.0,but it will not let me put fund and filter
587,"ask zoom for 3-4 people, but we can not exchange cards",want to exchange cards,1.0,ask zoom for 3 4 people but we can not exchange card
588,"when you try to log in through an institutional account, you enter a loop that ends 6 hours later without actually signing you in.",want to login using institutional account,1.0,when you try to log in through an institutional account you enter a loop that end 6 hours later without actually sign you in
589,"i mainly use it for yoga lessons, but i can no longer turn off the center camera in the control center, and i can not capture the entire pose.",want to turn off center camera in the control center,1.0,i mainly use it for yoga lessons but i can no longer turn off the center camera in the control center and i can not capture the entire pose
590,there is a bug that the zoom screen hardens on iphone xs (ios15.2.1).,screen freezes on iphone,1.0,there be a bug that the zoom screen harden on iphone xs ios15 2 1
591,I would like zoom to be able to work in background with picture in picture video like facetime does.,want the app to run in background with picture in picture video,1.0,i would like zoom to be able to work in background with picture in picture video like facetime do
592,"now, camera is instantly turned off when you put zoom on background.",camera turns off when the app is kept on background,1.0,now camera be instantly turn off when you put zoom on background
593,I would also love to be able to control remote screen from the ipad.,want to remote control screen from ipad,1.0,i would also love to be able to control remote screen from the ipad
594,"the question is why i can not save a list of meetings i can connect to on the main screen, with the ability to name this meeting.",want to save meeting lists,1.0,the question be why i can not save a list of meet i can connect to on the main screen with the ability to name this meet
595,"resolve the issue of maintaining a list of conferences, prepared templates",want to create a list of conferences and prepared templates,1.0,resolve the issue of maintain a list of conferences prepare templates
596,should not there be an upgrade to pro button hanging around somewhere?,want to upgrade to pro,1.0,should not there be an upgrade to pro button hang around somewhere
597,i do not understand why guys write bad reviews!,poor reviews,1.0,i do not understand why guy write bad review
598,switching between devices with a single account is very convenient.,switching between devices with single account is good,1.0,switch between devices with a single account be very convenient
599,why can not i make use of a whiteboard.,want to use whiteboard,1.0,why can not i make use of a whiteboard
600,"the notification bell keeps going on during the meeting, it rings when a person joins or leaves which disturbs the meeting.",notification bell keeps ringing during the meeting,1.0,the notification bell keep go on during the meet it ring when a person join or leave which disturb the meet
601,"the bell is not necessary, it is okay to leave a banner on the screen but not a bell every time someone joins.",want to remove the bell feature,1.0,the bell be not necessary it be okay to leave a banner on the screen but not a bell every time someone join
602,add pip picture-in-picture support for iphones,want picture in picture mode for iphone,1.0,add pip picture in picture support for iphones
603,"support does not work, there is no way to fix it in the settings.",support option does not work,1.0,support do not work there be no way to fix it in the settings
604,"dear zoom developers, make it possible to change icons on 7 iphones",want to change icons on iphone,1.0,dear zoom developers make it possible to change icons on 7 iphones
605,it has connectivity issues on iphone.,iphone has connectivity issues,1.0,it have connectivity issue on iphone
606,i would just like to finalize that ipad and iphone can connect a second pair of headphones via bluetooth.,want to connect a second pair of headphones via bluetooth,1.0,i would just like to finalize that ipad and iphone can connect a second pair of headphones via bluetooth
607,"the zoom has always worked very well, it is very convenient, but recently it has become hanging,",app hangs sometimes,1.0,the zoom have always work very well it be very convenient but recently it have become hang
608,"ask to drop data (name, surname, email) and send incomprehensible links to some conferences.",want to drop data and send links to some conferences,1.0,ask to drop data name surname email and send incomprehensible link to some conferences
609,a large delay when demonstrating a computer window from a 4k display to an ipad.,facing delay when demonstrating computer window from 4k display to ipad,1.0,a large delay when demonstrate a computer window from a 4k display to an ipad
610,there is no way to organize session rooms on the ipad.,want to organize session rooms on ipad,1.0,there be no way to organize session room on the ipad
611,"when i went to a distance learning lesson, conferences always crashed and did not work",conference did not work,1.0,when i go to a distance learn lesson conferences always crash and do not work
612,why can not i register with iphone 7,want to register with iphone,1.0,why can not i register with iphone 7
613,"- can not easily change name once in a meeting
- chat does not save to beginning of call -- so if things are typed into chat a few minutes into the call, it has to be retyped when late attendees arrive.",want to change name in a meeting,1.0,can not easily change name once in a meet chat do not save to begin of call so if things be type into chat a few minutes into the call it have to be retyped when late attendees arrive
614,- you can not control audio from the app if you dial in on the phone,want to control audio from app,1.0,you can not control audio from the app if you dial in on the phone
615,- chat function is difficult to switch between group reply and personal chats -- i have seen many accidental chats,want to switch between group and personal chats,1.0,chat function be difficult to switch between group reply and personal chat i have see many accidental chat
616,- backgrounds do not have great interface --,interface of background needs improvement,1.0,background do not have great interface
617,really wish the mobile client allowed you to save recordings locally.,want to save recordings locally,1.0,really wish the mobile client allow you to save record locally
618,(iphone 8) is utterly incapable of connecting to any calls.,want to connect from phone,1.0,iphone 8 be utterly incapable of connect to any call
619,i can not assign a picture to my profile for when i have my camera off.,want to add profile picture when the camera is off,1.0,i can not assign a picture to my profile for when i have my camera off
620,"and no where to upgrade the plan, please assigned a button for upgrade to others plan also.",want to upgrade plan,1.0,and no where to upgrade the plan please assign a button for upgrade to others plan also
621,please put the controls at the bottom of the screen.,want to put controls at bottom of screen,1.0,please put the control at the bottom of the screen
622,an option to touch the space bar to toggle mute/unmute would be wonderful.,want to toggle mute/unmute using spacebar,1.0,an option to touch the space bar to toggle mute unmute would be wonderful
623,every time i update my profile picture and join a meeting the profile picture looks blurred.,profile picture is blurred,1.0,every time i update my profile picture and join a meet the profile picture look blur
624,i do not understand why i can not get it to work on my apple laptop,want to work on apple laptop,1.0,i do not understand why i can not get it to work on my apple laptop
625,"also, without me selecting that feature the app automatically blurs my background which creates a halo around me making my outline look very unnatural.",app blurs background,1.0,also without me select that feature the app automatically blur my background which create a halo around me make my outline look very unnatural
626,please allow me to unblur my background and utilize the full quality of my camera.,want to unblur the background,1.0,please allow me to unblur my background and utilize the full quality of my camera
627,"zoom & my airpods pro work great on my iphones but, the zoom app on my macbook air and the bluetooth glitches out like crazy and cuts in and out.",facing issues with bluetooth connection on macbook,1.0,zoom my airpods pro work great on my iphones but the zoom app on my macbook air and the bluetooth glitches out like crazy and cut in and out
628,"really great app using just ""basic"" (or free.) version.",basic version is good,1.0,really great app use just basic or free version
629,the interface (especially with regards to user controls) is hard to navigate.,interface is hard to navigate,1.0,the interface especially with regard to user control be hard to navigate
630,i only used it a cpl times yet my saved passcodes do not work.,saved passcodes are not working,1.0,i only use it a cpl time yet my save passcodes do not work
631,"the ability to lock a breakout room from the inside, similar to the way we can lock a meeting, preventing others from joining.",want to lock a breakout room from inside,1.0,the ability to lock a breakout room from the inside similar to the way we can lock a meet prevent others from join
632,"if we could lock the breakout room and have the room display ""locked"" rather than listing the participants names, that would be great for facilitating private conversations.",want to lock the breakout room,1.0,if we could lock the breakout room and have the room display lock rather than list the participants name that would be great for facilitate private conversations
633,the ability to limit who can hear the audible alert when a participant enters the waiting room.,want to limit the audible alert when participant enters the waiting room,1.0,the ability to limit who can hear the audible alert when a participant enter the wait room
634,my biggest complaint is the inability to turn off the intergeated calling features.,want to turn off intergrated calls,1.0,my biggest complaint be the inability to turn off the intergeated call feature
635,not able to mirror screen onto smart tv,want to mirror screen onto tv,1.0,not able to mirror screen onto smart tv
636,we need add close caption for deaf who can not hear please you can put add for close captions on zoom by wednesday morning,want to add close captions,1.0,we need add close caption for deaf who can not hear please you can put add for close caption on zoom by wednesday morning
637,there is not even a way to contact in any settings on the app.,want to contact in settings,1.0,there be not even a way to contact in any settings on the app
638,and it said sign in failed in chinese,want to sign in in chinese,1.0,and it say sign in fail in chinese
639,this app would distract me a lot and it would glitch all the time and took all of the space on my laptop and it would always start and then the wi-fi would just shut down,app glitches frequently and takes up large memory space,1.0,this app would distract me a lot and it would glitch all the time and take all of the space on my laptop and it would always start and then the wi fi would just shut down
640,"i love zoom for having meetings, but a problem that occurs occasionally is trying to mute someone or lower someone is hand but the list changing due to someone unmuting or raising/lowering their hand, causing me to mute the incorrect person.",facing issues when trying to mute or lowering hand,1.0,i love zoom for have meet but a problem that occur occasionally be try to mute someone or lower someone be hand but the list change due to someone unmuting or raise lower their hand cause me to mute the incorrect person
641,logging onto a meeting is very easy,logging onto a meeting is easy,1.0,log onto a meet be very easy
642,great experience using zoom all i wanted was more new features like video background editing option in ipad,want video background editing option,1.0,great experience use zoom all i want be more new feature like video background edit option in ipad
643,zoom app is not opening in iphone 7 plus.,zoom app is not opening in iphone,1.0,zoom app be not open in iphone 7 plus
644,it is so good to have facial recognition when discussing personal or professional work.,facial recognition is good,1.0,it be so good to have facial recognition when discuss personal or professional work
645,sometimes i want to be anonymous in a meeting -every time i go to edit my name and put a new name in next time i go into zoom,want to be anonymous in a meeting,1.0,sometimes i want to be anonymous in a meet every time i go to edit my name and put a new name in next time i go into zoom
646,difficult to get started to host a meeting,want to host meeting,1.0,difficult to get start to host a meet
647,"what is that all about in other words, i cannot get into my own zoom room.",want to enter zoom room,1.0,what be that all about in other word i can not get into my own zoom room
648,"i love the zoom app, i just wish they would address a way to center view when you have an off-center camera on your device.",want to have a center view for off center camera on device,1.0,i love the zoom app i just wish they would address a way to center view when you have an off center camera on your device
649,they are still sucking money out of my account with no means to cancel at this time.,want to stop amount deduction,1.0,they be still suck money out of my account with no mean to cancel at this time
650,it is really helpful to be able to mute other people on zoom if they are accidentally unmuted or saying wrong things.,want to mute other people,1.0,it be really helpful to be able to mute other people on zoom if they be accidentally unmuted or say wrong things
651,it is frustrating and maddening to be unable to connect with the others through zoom!,want to connect with others through zoom,1.0,it be frustrate and madden to be unable to connect with the others through zoom
652,i cannot connect to zoom meetings on my ipad.,want to connect to meetings on ipad,1.0,i can not connect to zoom meet on my ipad
653,screen goes black except for a little man icon in center --,screen becomes black except for the little man icon in center,1.0,screen go black except for a little man icon in center
654,"no buttons, no way to drag down meeting controls from top, absolutely nothing i can do.",want to drag and drop meeting controls,1.0,no button no way to drag down meet control from top absolutely nothing i can do
655,i do not understand why the simple function of allowing us to change our status on the mobile app is not an option.,want to change status on mobile,1.0,i do not understand why the simple function of allow us to change our status on the mobile app be not an option
656,using zoom for online classes is super convenient and will not get stuck.,using zoom for online classes is good,1.0,use zoom for online class be super convenient and will not get stick
657,host functionality is very glitchy on tablet or phone.,host functionality has glitches on tablet or phone,1.0,host functionality be very glitchy on tablet or phone
658,"no integration with the password manager, so you must remember your password, and you will re-use the simple one you use for all the crap websites.",want integration with password manager,1.0,no integration with the password manager so you must remember your password and you will re use the simple one you use for all the crap websites
659,almost no configurability of how participants are displayed.,no configurability of how participants are displayed,1.0,almost no configurability of how participants be display
660,"for some inadequate reason, it always wants to launch through a web link, opening another useless tab, and adding a couple of useless clicks.",app launches using web link,1.0,for some inadequate reason it always want to launch through a web link open another useless tab and add a couple of useless click
661,there is no option to use breakout rooms.,want to enter breakout room,1.0,there be no option to use breakout room
662,it seems certain features have not appeared in the mobile version of zoom.,mobile version of zoom does not have features,1.0,it seem certain feature have not appear in the mobile version of zoom
663,please add the feature to where we can close the zoom app & still watch a video/movie on the small screen.,want to close the app and watch video on the small screen,1.0,please add the feature to where we can close the zoom app still watch a video movie on the small screen
664,2.- ability to know how many people are listening the foreign language.,want to know how many people are listening the foreign language,1.0,2 ability to know how many people be listen the foreign language
665,i love to see smiling faces and continue building relationships through zoom!,good for building relations through zoom,1.0,i love to see smile face and continue build relationships through zoom
666,"it is good except you canot record on the ipad version, and you cannot have the chat up and see the screen.",want to record on ipad,1.0,it be good except you canot record on the ipad version and you can not have the chat up and see the screen
667,why is that music is not translated well on zoom?,music is not translated on zoom,1.0,why be that music be not translate well on zoom
668,i am going nuts trying to figure out a way to have a picture up while on a zoom (and i do not want to be seen live).,want to upload a picture without being seen live,1.0,i be go nut try to figure out a way to have a picture up while on a zoom and i do not want to be see live
669,"this app does most things i could do on a laptop, however, the ability to do breakout rooms is not on the app.",ability to breakout rooms is not present on app,1.0,this app do most things i could do on a laptop however the ability to do breakout room be not on the app
670,I would like to be able to minis the screen while i scroll thru other apps,want to minimize the screen while scrolling through other apps,1.0,i would like to be able to minis the screen while i scroll thru other apps
671,this app is very glitchy especially on a green screen background the ads are kind of false advertising because they look so high quality when in reality,app is glitchy on green screen background,1.0,this app be very glitchy especially on a green screen background the ads be kind of false advertise because they look so high quality when in reality
672,you should also add a section where you can put in notes.,want to add a section to add notes,1.0,you should also add a section where you can put in note
673,but when you try to screen share it is always lagging and you can not see what is going on.,screen sharing is lagging,1.0,but when you try to screen share it be always lag and you can not see what be go on
674,once me and my friend where trying to watch a movie but when she tried i could not see it and when i tried she could not see.,want to view video together,1.0,once me and my friend where try to watch a movie but when she try i could not see it and when i try she could not see
675,I would like to be able to still see the meeting room info even when I have turned off the video.,want to see meeting room information after turning off the video,1.0,i would like to be able to still see the meet room info even when i have turn off the video
676,i some how lost the audio and video.,lost audio and video,1.0,i some how lose the audio and video
677,please send some advice on how to get back to the zoom meetings once I have lost the audio and visual.,want to get back to meetings after losing audio and visual,1.0,please send some advice on how to get back to the zoom meet once i have lose the audio and visual
678,on iphone and ipad i cannot put a picture up as my portal-face-screen.,want to put picture up as portal-face-screen on ios devices,1.0,on iphone and ipad i can not put a picture up as my portal face screen
679,and you know how you can put an emoji on the corner of your screen.,want to put emoji on the corner of screen,1.0,and you know how you can put an emoji on the corner of your screen
680,video sending pauses when i do multitasking.,video sending pauses during multitasking,1.0,video send pause when i do multitasking
681,this helps stay together as a family,good for families,1.0,this help stay together as a family
682,does not have some obvious features like auto switch between devices.,want to auto switch between devices,1.0,do not have some obvious feature like auto switch between devices
683,the only thing i feel could be improved is to have the passcode imported/populate automatically if the meeting is joined via a link.,passcode needs to be imported automatically if meeting is joined via link,1.0,the only thing i feel could be improve be to have the passcode import populate automatically if the meet be join via a link
684,please add a floating window picture in picture mode when you minimize the app like webex (add mute buttons).,want floating window picture in picture mode,1.0,please add a float window picture in picture mode when you minimize the app like webex add mute button
685,i look forward to zoom to have the same filter on instagram,want filters from instagram,1.0,i look forward to zoom to have the same filter on instagram
686,hope creative manufacturers can add block function to not mind the matching trg is not worth having,want block function,1.0,hope creative manufacturers can add block function to not mind the match trg be not worth have
687,how to sign out acc just crazy chinese,want to sign out from chinese language,1.0,how to sign out acc just crazy chinese
688,app freezes when signing in with google,app freezes when signing in with google,1.0,app freeze when sign in with google
689,please contact the japanese developer to remove the message mode;,want to remove the message mode,1.0,please contact the japanese developer to remove the message mode
690,should add nx features with wallpaper such as wallpaper replacement,want wallpaper replacement feature,1.0,should add nx feature with wallpaper such as wallpaper replacement
691,"call quality is outstanding, a big thank you to the developers",call quality is good,1.0,call quality be outstanding a big thank you to the developers
692,"after spending months using it, it gives me error code 1142 saying that i can not connect from spain.",receiving error code 1142,1.0,after spend months use it it give me error code 1142 say that i can not connect from spain
693,unable to fix error 1132 on ipad,want to fix error 1132 on ipad,1.0,unable to fix error 1132 on ipad
694,zoom is amazing i can zoom anywhere and anytime but sometimes my internet goes down,zoom is amazing,1.0,zoom be amaze i can zoom anywhere and anytime but sometimes my internet go down
695,unfortunately the new update does not improve the screen sharing or the big gap between computer zoom and ipad.,facing issues with screen share after latest update,1.0,unfortunately the new update do not improve the screen share or the big gap between computer zoom and ipad
696,when you share screen in ipad your camera will shut down,camera shuts down during screen share,1.0,when you share screen in ipad your camera will shut down
697,please provide a feature to be able to install a background on iphone 6,want to install background on iphone,1.0,please provide a feature to be able to install a background on iphone 6
698,"it is a shame that once the meeting has started, you can not reach the settings anymore.",want to access settings after joining meeting,1.0,it be a shame that once the meet have start you can not reach the settings anymore
699,"hey guys, no choice menu for virtual background iphone 7",want to get menu for virtual background on iphone,1.0,hey guy no choice menu for virtual background iphone 7
700,i need to wait a long time to login,takes time to login,1.0,i need to wait a long time to login
701,why only 10people can acces room?,want to know why only 10 people can access room,1.0,why only 10people can acces room
702,"on my ipad, i can not see the host's screenshare when i minimise my meeting.",want to view screen share when minimized,1.0,on my ipad i can not see the host s screenshare when i minimise my meet
703,i always drop out from the waiting room although my network is stable.,getting disconnected from waiting room,1.0,i always drop out from the wait room although my network be stable
704,it keeps loading although my network is stable.,app keeps loading while having stable network,1.0,it keep load although my network be stable
